school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Supera
GP,F,15,U,GT3,T,Grado_9,Primaria_Superior,services,other,reputation,father,De 30m a 60m,De 5h a 10h,0,no,yes,no,yes,yes,yes,yes,no,5,2,2,1,1,4,0,10,12,13,Si
GP,M,15,U,LE3,T,Superior,Superior,health,services,course,father,Inf. 15m,Inf. a 2h,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,3,5,0,12,13,12,Si
GP,M,15,U,GT3,T,Superior,Secundaria,teacher,other,course,mother,De 15m a 30m,De 2h a 5h,0,no,yes,no,no,yes,yes,yes,no,5,4,3,1,2,3,0,12,12,13,Si
GP,M,15,U,GT3,A,Grado_9,Grado_9,other,other,home,other,Inf. 15m,De 5h a 10h,0,no,yes,no,no,yes,yes,yes,yes,4,5,2,1,1,3,0,14,14,15,Si
GP,F,16,U,GT3,T,Superior,Superior,health,other,home,mother,Inf. 15m,Inf. a 2h,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,2,2,6,17,17,17,Si
GP,F,16,U,GT3,T,Superior,Superior,services,services,reputation,mother,Inf. 15m,De 5h a 10h,0,no,yes,no,yes,yes,yes,yes,no,3,2,3,1,2,2,10,13,13,14,Si
GP,F,16,U,GT3,T,Secundaria,Secundaria,other,other,reputation,mother,De 30m a 60m,De 2h a 5h,0,yes,yes,no,yes,yes,yes,no,no,5,3,2,1,1,4,2,13,14,14,Si
GP,M,17,U,GT3,T,Secundaria,Grado_9,services,services,course,mother,Inf. 15m,Inf. a 2h,3,no,yes,yes,yes,yes,yes,yes,no,5,5,5,2,4,5,2,8,8,7,No
GP,M,16,U,LE3,T,Superior,Secundaria,health,other,home,father,Inf. 15m,Inf. a 2h,0,no,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,6,12,12,12,Si
GP,M,15,U,GT3,T,Superior,Secundaria,teacher,other,reputation,mother,Inf. 15m,De 2h a 5h,0,no,no,no,no,yes,yes,yes,no,4,4,1,1,1,1,0,12,13,14,Si
GP,M,15,U,GT3,T,Superior,Superior,health,health,other,father,Inf. 15m,Inf. a 2h,0,no,yes,yes,no,yes,yes,yes,no,5,4,2,1,1,5,0,11,12,12,Si
GP,M,16,U,LE3,T,Superior,Grado_9,teacher,other,course,mother,Inf. 15m,De 2h a 5h,0,no,no,no,yes,yes,yes,yes,no,4,5,1,1,3,5,0,12,13,14,Si
GP,M,16,U,LE3,T,Grado_9,Grado_9,other,other,reputation,mother,De 15m a 30m,De 2h a 5h,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,2,4,5,2,10,10,10,Si
GP,F,15,R,GT3,T,Grado_9,Superior,services,health,course,mother,Inf. 15m,De 5h a 10h,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,10,11,10,Si
GP,F,16,U,GT3,T,Grado_9,Grado_9,services,services,home,mother,Inf. 15m,Inf. a 2h,0,no,yes,no,no,no,yes,yes,no,1,2,2,1,3,5,6,10,11,12,Si
GP,M,15,U,GT3,T,Grado_9,Grado_9,other,other,home,mother,Inf. 15m,Inf. a 2h,0,no,yes,no,no,yes,yes,yes,no,4,2,2,1,2,5,8,11,12,12,Si
GP,M,15,U,GT3,T,Superior,Grado_9,health,services,other,mother,Inf. 15m,Inf. a 2h,0,no,no,no,no,yes,yes,yes,no,2,2,4,2,4,1,0,11,11,11,Si
GP,M,16,U,LE3,A,Secundaria,Superior,services,other,home,mother,Inf. 15m,De 2h a 5h,0,yes,yes,yes,yes,yes,yes,yes,no,5,3,3,1,1,5,2,12,12,13,Si
GP,M,16,U,GT3,T,Superior,Superior,teacher,teacher,home,mother,Inf. 15m,De 2h a 5h,0,no,yes,yes,yes,yes,yes,yes,yes,4,4,5,5,5,5,4,12,11,12,Si
GP,M,15,U,GT3,T,Superior,Superior,health,services,home,mother,Inf. 15m,De 2h a 5h,0,no,yes,yes,no,no,yes,yes,no,5,4,2,3,4,5,0,10,11,11,Si
GP,M,15,U,GT3,T,Superior,Superior,services,services,reputation,mother,De 15m a 30m,De 2h a 5h,0,no,yes,no,yes,yes,yes,yes,no,4,3,1,1,1,5,2,15,15,15,Si
GP,M,15,R,GT3,T,Superior,Secundaria,teacher,at_home,course,mother,Inf. 15m,De 2h a 5h,0,no,yes,no,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,13,14,15,Si
GP,M,15,U,LE3,T,Secundaria,Secundaria,other,other,course,mother,Inf. 15m,De 2h a 5h,0,no,no,no,yes,no,yes,yes,no,5,3,2,1,1,2,0,13,12,12,Si
GP,M,16,U,GT3,T,Secundaria,Grado_9,other,other,home,mother,Inf. 15m,Inf. a 2h,0,no,yes,no,no,no,yes,yes,no,5,4,3,1,1,5,4,12,12,12,Si
GP,F,15,U,GT3,T,Grado_9,Secundaria,other,other,other,father,De 15m a 30m,Inf. a 2h,0,no,yes,no,yes,yes,yes,no,no,3,5,1,1,1,5,4,11,11,11,Si
GP,M,15,U,LE3,T,Superior,Secundaria,teacher,services,home,mother,Inf. 15m,De 5h a 10h,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,1,4,0,14,14,14,Si
GP,M,16,R,GT3,A,Superior,Superior,other,teacher,reputation,mother,De 15m a 30m,De 5h a 10h,0,no,yes,no,yes,yes,yes,yes,yes,2,4,3,1,1,5,4,13,13,13,Si
GP,F,15,R,GT3,T,Secundaria,Superior,services,health,course,mother,Inf. 15m,De 5h a 10h,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,2,11,12,12,Si
GP,F,15,R,GT3,T,Grado_9,Grado_9,at_home,other,reputation,mother,Inf. 15m,Inf. a 2h,0,yes,yes,no,yes,yes,yes,no,no,4,3,1,1,1,2,8,14,13,12,Si
GP,F,16,U,LE3,T,Grado_9,Grado_9,other,other,home,mother,De 15m a 30m,De 2h a 5h,0,no,yes,no,yes,no,yes,yes,yes,3,3,3,1,2,3,16,11,11,10,Si
GP,M,15,U,LE3,T,Superior,Superior,teacher,other,home,other,Inf. 15m,Inf. a 2h,0,no,yes,no,no,no,yes,yes,yes,5,4,3,2,4,5,8,10,11,11,Si
GP,M,15,U,GT3,T,Superior,Superior,services,teacher,course,father,Inf. 15m,De 2h a 5h,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,1,1,5,0,14,15,15,Si
GP,M,15,U,GT3,T,Grado_9,Grado_9,services,services,course,father,Inf. 15m,Inf. a 2h,0,yes,yes,no,no,yes,yes,yes,no,5,4,1,1,1,1,0,9,10,10,Si
GP,F,16,U,LE3,T,Grado_9,Grado_9,other,at_home,course,father,De 15m a 30m,De 2h a 5h,1,yes,no,no,yes,yes,yes,yes,no,4,3,3,2,2,5,14,10,11,11,Si
GP,F,15,U,LE3,A,Superior,Secundaria,other,other,course,mother,Inf. 15m,De 2h a 5h,0,yes,yes,yes,yes,yes,yes,yes,yes,5,2,2,1,1,5,4,10,11,11,Si
GP,F,16,U,LE3,A,Secundaria,Secundaria,other,services,home,mother,Inf. 15m,De 2h a 5h,0,no,yes,no,no,yes,yes,yes,no,2,3,5,1,4,3,6,13,12,13,Si
GP,M,16,U,GT3,T,Superior,Secundaria,health,services,reputation,mother,Inf. 15m,Sup. 10h.,0,no,no,no,yes,yes,yes,yes,no,4,2,2,1,1,2,2,17,17,17,Si
GP,M,15,U,GT3,T,Superior,Grado_9,teacher,other,home,mother,Inf. 15m,De 2h a 5h,0,no,yes,no,no,yes,yes,no,no,4,3,3,2,2,5,4,11,12,13,Si
GP,F,15,U,GT3,T,Superior,Superior,services,teacher,other,father,Inf. 15m,De 2h a 5h,0,yes,yes,no,yes,no,yes,yes,no,4,4,4,1,1,3,2,13,12,12,Si
GP,F,16,U,LE3,T,Grado_9,Grado_9,services,services,course,mother,De 30m a 60m,De 2h a 5h,0,no,yes,no,no,yes,yes,yes,no,4,3,3,2,3,4,0,14,13,13,Si
GP,F,15,U,LE3,T,Superior,Grado_9,health,other,other,mother,Inf. 15m,De 2h a 5h,0,no,yes,no,no,yes,yes,yes,no,4,3,3,1,1,5,0,16,14,16,Si
GP,M,15,U,LE3,A,Superior,Grado_9,health,health,other,father,De 15m a 30m,Inf. a 2h,0,no,no,no,no,yes,yes,no,no,5,5,5,3,4,5,4,10,9,9,No
GP,F,15,U,GT3,T,Superior,Superior,services,services,course,mother,Inf. 15m,Inf. a 2h,0,yes,yes,no,no,yes,yes,yes,no,3,3,4,2,3,5,0,13,12,12,Si
GP,F,15,U,LE3,A,Secundaria,Secundaria,other,other,other,mother,Inf. 15m,Inf. a 2h,0,no,no,no,no,yes,yes,yes,no,5,3,4,4,4,1,0,13,12,13,Si
GP,F,16,U,GT3,A,Grado_9,Primaria_Superior,other,other,other,mother,Inf. 15m,De 2h a 5h,0,no,no,no,yes,yes,yes,yes,yes,5,3,4,1,1,2,2,12,13,12,Si
GP,F,15,U,GT3,A,Superior,Secundaria,services,services,reputation,mother,Inf. 15m,De 2h a 5h,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,1,0,15,14,15,Si
GP,M,15,U,GT3,T,Superior,Superior,teacher,health,reputation,mother,Inf. 15m,De 2h a 5h,0,no,yes,no,yes,yes,yes,no,no,3,2,2,1,1,5,8,15,15,16,Si
GP,M,15,U,LE3,T,Primaria_Superior,Grado_9,other,at_home,home,father,Inf. 15m,De 2h a 5h,0,yes,yes,no,yes,yes,yes,yes,no,4,3,2,1,1,5,0,14,13,14,Si
GP,F,16,U,GT3,T,Superior,Grado_9,services,other,course,mother,Inf. 15m,De 2h a 5h,0,no,yes,yes,no,yes,yes,yes,no,4,2,3,1,1,5,2,16,15,16,Si
GP,F,16,R,GT3,T,Superior,Superior,health,teacher,other,mother,Inf. 15m,De 2h a 5h,0,no,yes,no,yes,yes,yes,no,no,2,4,4,2,3,4,0,17,16,16,Si
GP,F,16,U,GT3,T,Primaria_Superior,Primaria_Superior,services,services,course,father,Sup. 60m.,Inf. a 2h,0,yes,yes,no,yes,no,yes,yes,yes,5,5,5,5,5,5,0,10,10,16,Si
GP,F,16,U,LE3,T,Primaria_Superior,Grado_9,other,services,reputation,father,Inf. 15m,De 2h a 5h,0,yes,no,no,yes,yes,yes,yes,no,4,4,3,1,1,1,0,13,13,10,Si
GP,F,16,U,GT3,T,Superior,Secundaria,teacher,health,home,mother,Inf. 15m,De 5h a 10h,0,yes,yes,no,yes,yes,yes,yes,no,3,4,4,2,4,4,0,14,13,13,Si
GP,F,15,U,LE3,T,Superior,Secundaria,services,services,reputation,father,Inf. 15m,De 2h a 5h,0,yes,no,no,yes,yes,yes,yes,yes,4,4,4,2,4,2,0,13,12,12,Si
GP,F,16,U,LE3,T,Superior,Secundaria,teacher,services,course,mother,De 30m a 60m,De 2h a 5h,0,no,yes,no,yes,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,16,Si
GP,M,15,U,GT3,A,Superior,Superior,other,services,reputation,mother,Inf. 15m,Sup. 10h.,0,no,yes,no,yes,no,yes,yes,yes,1,3,3,5,5,3,0,11,12,12,Si
GP,F,16,U,GT3,T,Secundaria,Primaria_Superior,services,other,course,mother,Inf. 15m,Sup. 10h.,0,yes,yes,no,no,yes,yes,yes,no,4,3,3,1,2,5,0,10,9,10,Si
GP,F,15,R,LE3,T,Grado_9,Grado_9,health,services,reputation,mother,De 15m a 30m,De 2h a 5h,0,yes,yes,no,no,yes,yes,yes,no,4,1,3,1,3,4,0,11,10,11,Si
GP,F,15,R,LE3,T,Secundaria,Primaria_Superior,other,other,reputation,father,De 15m a 30m,Sup. 10h.,0,no,yes,no,no,no,yes,yes,no,4,4,2,2,3,3,6,15,15,15,Si
GP,M,16,U,GT3,T,Secundaria,Primaria_Superior,other,other,reputation,father,De 15m a 30m,Sup. 10h.,0,no,yes,no,no,yes,yes,yes,no,4,3,2,1,1,5,2,13,11,11,Si
GP,M,15,U,GT3,T,Superior,Grado_9,other,other,course,mother,Inf. 15m,Sup. 10h.,0,no,no,no,no,yes,yes,yes,no,3,3,3,1,1,3,0,11,9,10,Si
GP,F,15,R,GT3,T,Primaria_Superior,Primaria_Superior,other,other,reputation,mother,Inf. 15m,De 2h a 5h,0,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,4,5,2,13,11,11,Si
GP,M,16,U,GT3,T,Secundaria,Primaria_Superior,other,other,reputation,mother,Inf. 15m,Inf. a 2h,0,no,no,no,yes,yes,yes,no,no,5,3,2,2,2,5,0,13,13,14,Si
GP,F,16,U,GT3,T,Secundaria,Secundaria,other,services,home,mother,Inf. 15m,De 2h a 5h,0,yes,yes,no,yes,yes,yes,yes,no,4,3,3,2,4,5,4,11,11,11,Si
GP,M,15,U,GT3,T,Superior,Secundaria,teacher,other,home,mother,Inf. 15m,De 2h a 5h,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,2,3,5,0,11,11,11,Si
GP,M,15,U,GT3,T,Superior,Ninguna,teacher,other,course,mother,De 15m a 30m,Sup. 10h.,0,no,no,no,yes,yes,yes,yes,no,3,4,3,1,1,1,0,12,11,11,Si
GP,F,16,U,GT3,T,Grado_9,Grado_9,other,other,reputation,mother,Inf. 15m,Sup. 10h.,0,no,no,no,no,yes,yes,yes,yes,5,2,3,1,3,3,1,13,13,13,Si
GP,M,17,U,GT3,T,Grado_9,Primaria_Superior,other,other,home,mother,De 15m a 30m,Inf. a 2h,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,1,1,3,0,9,9,10,Si
GP,F,16,U,GT3,T,Secundaria,Superior,at_home,other,course,mother,Inf. 15m,De 2h a 5h,0,no,yes,no,no,yes,yes,yes,no,2,4,3,1,2,3,14,12,11,11,Si
GP,M,15,U,GT3,T,Grado_9,Secundaria,other,services,course,father,Inf. 15m,Inf. a 2h,0,yes,yes,no,yes,no,yes,yes,yes,3,2,2,1,3,3,0,11,11,12,Si
GP,M,15,U,GT3,T,Grado_9,Secundaria,other,other,home,mother,Inf. 15m,De 5h a 10h,0,yes,no,no,no,no,yes,yes,no,5,3,2,1,2,5,2,10,9,9,No
GP,F,15,U,LE3,T,Secundaria,Grado_9,services,other,reputation,mother,Inf. 15m,De 2h a 5h,0,no,yes,no,no,yes,yes,yes,no,4,4,4,1,1,5,4,12,11,11,Si
GP,M,15,U,LE3,T,Grado_9,Grado_9,services,services,home,mother,De 15m a 30m,De 2h a 5h,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,1,3,4,2,13,12,13,Si
GP,F,15,U,GT3,T,Primaria_Superior,Primaria_Superior,other,other,home,father,Inf. 15m,De 2h a 5h,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,3,4,2,13,12,12,Si
GP,F,15,U,GT3,T,Superior,Superior,services,services,reputation,father,De 15m a 30m,De 2h a 5h,0,no,no,no,no,yes,yes,yes,yes,4,4,4,2,3,5,4,12,11,12,Si
GP,F,16,U,LE3,T,Grado_9,Grado_9,at_home,other,course,mother,Inf. 15m,De 2h a 5h,0,no,yes,no,no,yes,yes,no,no,4,3,4,1,2,2,6,13,11,11,Si
GP,F,15,U,GT3,T,Superior,Grado_9,other,other,reputation,mother,Inf. 15m,De 5h a 10h,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,3,1,4,15,15,15,Si
GP,M,16,U,GT3,T,Grado_9,Grado_9,services,other,reputation,father,De 15m a 30m,De 2h a 5h,0,no,no,no,yes,no,yes,yes,no,4,4,2,1,1,3,6,12,10,11,Si
GP,M,16,U,LE3,A,Superior,Superior,teacher,health,reputation,mother,Inf. 15m,De 2h a 5h,0,no,yes,no,no,yes,yes,no,no,4,1,3,3,5,5,6,9,9,10,Si
GP,F,16,U,GT3,T,Secundaria,Secundaria,other,other,home,mother,Inf. 15m,De 5h a 10h,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,1,3,4,2,9,11,11,Si
GP,F,15,U,GT3,T,Superior,Secundaria,services,other,reputation,mother,Inf. 15m,Inf. a 2h,0,no,no,no,yes,yes,yes,yes,no,4,5,5,1,3,1,6,14,13,13,Si
GP,F,16,U,LE3,T,Secundaria,Primaria_Superior,other,other,home,father,Inf. 15m,De 2h a 5h,0,yes,yes,no,no,yes,yes,no,no,3,3,3,2,3,2,0,12,13,12,Si
GP,F,16,U,GT3,T,Superior,Grado_9,teacher,services,home,mother,De 15m a 30m,De 2h a 5h,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,1,2,13,14,14,Si
GP,M,15,U,LE3,T,Grado_9,Grado_9,services,health,reputation,mother,Inf. 15m,Sup. 10h.,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,1,1,4,2,11,12,12,Si
GP,F,15,R,GT3,T,Primaria_Superior,Primaria_Superior,at_home,other,home,mother,De 15m a 30m,Sup. 10h.,0,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,1,1,1,4,13,13,13,Si
GP,M,16,R,GT3,T,Superior,Secundaria,services,other,reputation,mother,De 15m a 30m,Inf. a 2h,0,yes,yes,yes,yes,no,yes,yes,no,3,3,3,1,1,4,6,9,11,11,Si
GP,F,16,U,GT3,T,Grado_9,Primaria_Superior,other,other,course,mother,Inf. 15m,De 2h a 5h,0,no,yes,no,no,yes,yes,no,yes,4,3,5,1,1,5,0,13,12,12,Si
GP,F,16,U,GT3,T,Superior,Superior,other,other,reputation,mother,Inf. 15m,Inf. a 2h,0,no,no,no,yes,no,yes,yes,no,5,3,4,1,2,1,4,12,13,13,Si
GP,F,16,U,GT3,T,Superior,Secundaria,other,at_home,course,mother,Inf. 15m,De 5h a 10h,0,yes,yes,no,no,yes,yes,yes,no,5,3,5,1,1,3,2,12,13,13,Si
GP,M,16,U,GT3,T,Superior,Superior,services,services,other,mother,Inf. 15m,Inf. a 2h,0,yes,yes,no,yes,yes,yes,yes,no,4,5,5,5,5,4,12,9,9,8,No
GP,M,16,U,GT3,T,Superior,Superior,services,teacher,other,father,Inf. 15m,De 5h a 10h,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,1,1,4,0,16,16,16,Si
GP,M,15,U,GT3,T,Superior,Superior,services,other,course,mother,Inf. 15m,Inf. a 2h,0,no,yes,yes,yes,no,yes,yes,no,5,3,3,1,1,5,2,12,13,12,Si
GP,F,15,U,GT3,T,Secundaria,Grado_9,services,other,home,mother,De 15m a 30m,De 2h a 5h,0,yes,yes,no,no,yes,yes,yes,no,4,3,5,1,1,2,16,11,10,10,Si
GP,M,15,U,GT3,A,Secundaria,Superior,services,other,course,mother,Inf. 15m,De 2h a 5h,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,1,1,0,16,16,16,Si
GP,F,15,U,GT3,A,Secundaria,Secundaria,other,health,reputation,father,Inf. 15m,Sup. 10h.,0,yes,no,no,no,yes,yes,no,no,4,3,3,1,1,4,10,10,10,10,Si
GP,F,15,U,GT3,T,Grado_9,Grado_9,other,other,course,mother,Inf. 15m,Sup. 10h.,0,yes,yes,no,no,yes,yes,yes,no,5,1,2,1,1,3,4,10,10,10,Si
GP,M,16,U,GT3,T,Secundaria,Secundaria,services,other,home,father,Inf. 15m,De 5h a 10h,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,1,1,5,4,13,14,14,Si
GP,M,15,R,GT3,T,Superior,Superior,other,other,home,father,Sup. 60m.,Sup. 10h.,0,no,yes,no,yes,yes,yes,yes,yes,1,3,5,3,5,1,8,12,10,11,Si
GP,F,16,U,LE3,T,Superior,Superior,health,health,other,mother,Inf. 15m,De 5h a 10h,0,no,yes,no,yes,yes,yes,yes,yes,5,4,5,1,1,4,2,15,15,14,Si
GP,M,15,U,LE3,A,Superior,Superior,teacher,teacher,course,mother,Inf. 15m,Inf. a 2h,0,no,no,no,yes,yes,yes,yes,no,5,5,3,1,1,4,4,13,14,14,Si
GP,F,16,R,GT3,T,Secundaria,Secundaria,services,other,reputation,father,Inf. 15m,De 5h a 10h,0,yes,yes,no,yes,yes,yes,yes,no,4,1,2,1,1,2,4,11,11,11,Si
GP,F,16,U,GT3,T,Grado_9,Grado_9,at_home,other,home,mother,Inf. 15m,De 2h a 5h,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,1,1,5,12,8,10,10,Si
GP,M,15,U,LE3,T,Superior,Grado_9,teacher,other,course,mother,Inf. 15m,Inf. a 2h,0,no,no,no,no,yes,yes,yes,no,3,5,2,1,1,3,10,18,17,18,Si
GP,M,15,R,GT3,T,Grado_9,Primaria_Superior,health,services,reputation,mother,Inf. 15m,De 2h a 5h,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,1,1,5,4,10,9,10,Si
GP,M,16,U,GT3,T,Superior,Superior,teacher,teacher,course,father,Inf. 15m,De 2h a 5h,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,1,2,5,6,16,14,14,Si
GP,M,15,U,GT3,T,Superior,Superior,other,teacher,reputation,father,De 15m a 30m,De 2h a 5h,0,no,yes,no,yes,yes,yes,no,no,4,4,3,1,1,2,4,16,15,16,Si
GP,M,16,U,GT3,T,Secundaria,Secundaria,other,services,home,father,De 15m a 30m,Inf. a 2h,0,no,no,no,yes,yes,yes,yes,no,5,4,2,1,1,5,6,14,14,15,Si
GP,M,17,R,GT3,T,Primaria_Superior,Secundaria,other,other,course,father,De 30m a 60m,De 2h a 5h,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,1,4,5,14,12,11,11,Si
GP,M,15,U,GT3,T,Secundaria,Superior,other,other,reputation,father,Inf. 15m,Inf. a 2h,0,no,no,no,no,yes,yes,yes,no,3,4,3,1,2,4,2,14,13,14,Si
GP,F,15,U,GT3,T,Primaria_Superior,Grado_9,at_home,services,course,mother,Inf. 15m,De 2h a 5h,0,no,no,no,no,no,yes,yes,no,3,2,3,1,2,1,0,14,14,14,Si
GP,M,15,U,GT3,T,Grado_9,Grado_9,services,services,home,father,Inf. 15m,Sup. 10h.,0,no,yes,no,yes,yes,yes,yes,no,5,5,4,1,2,5,6,14,13,13,Si
GP,F,16,U,LE3,T,Grado_9,Superior,other,health,course,father,De 15m a 30m,De 2h a 5h,0,no,yes,no,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,14,12,13,Si
GP,M,16,U,GT3,T,Superior,Superior,health,other,course,mother,Inf. 15m,Inf. a 2h,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,1,4,5,4,12,13,13,Si
GP,F,16,U,GT3,T,Grado_9,Grado_9,other,other,home,mother,Inf. 15m,De 2h a 5h,0,no,no,no,no,yes,yes,yes,yes,5,4,4,1,1,5,0,12,11,11,Si
GP,M,15,U,GT3,T,Secundaria,Superior,services,services,home,father,Inf. 15m,Inf. a 2h,0,yes,no,no,no,yes,yes,yes,no,5,5,5,3,2,5,2,9,9,9,No
GP,F,15,U,LE3,A,Secundaria,Superior,other,other,home,mother,Inf. 15m,De 2h a 5h,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,1,1,1,0,10,11,11,Si
GP,F,19,U,GT3,T,Ninguna,Primaria_Superior,at_home,other,course,other,Inf. 15m,De 2h a 5h,2,no,yes,no,no,no,no,no,no,3,4,2,1,1,5,0,9,10,11,Si
GP,M,16,R,GT3,T,Superior,Superior,teacher,teacher,course,mother,Inf. 15m,Inf. a 2h,0,no,no,no,yes,yes,yes,yes,no,3,5,5,2,5,4,8,14,14,15,Si
GP,M,16,U,GT3,T,Grado_9,Secundaria,other,other,course,mother,De 15m a 30m,De 5h a 10h,0,no,yes,no,no,no,yes,yes,yes,3,2,3,2,2,1,4,13,12,13,Si
GP,F,15,R,GT3,T,Secundaria,Superior,services,teacher,course,father,De 15m a 30m,De 5h a 10h,0,no,yes,no,no,yes,yes,yes,yes,4,2,2,2,2,5,0,10,11,12,Si
GP,F,18,U,GT3,T,Grado_9,Primaria_Superior,services,other,reputation,mother,Inf. 15m,De 2h a 5h,3,no,yes,no,yes,yes,no,yes,yes,5,4,5,1,3,5,10,10,9,8,No
GP,F,17,U,LE3,A,Grado_9,Primaria_Superior,other,other,course,mother,De 30m a 60m,Inf. a 2h,0,no,yes,no,no,yes,yes,yes,no,3,2,2,1,2,5,8,11,10,11,Si
GP,F,15,U,GT3,T,Primaria_Superior,Primaria_Superior,at_home,other,course,mother,De 30m a 60m,Inf. a 2h,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,1,2,4,6,11,12,13,Si
GP,F,17,U,LE3,T,Grado_9,Grado_9,other,other,course,father,Inf. 15m,Inf. a 2h,0,no,yes,no,no,yes,yes,yes,yes,3,4,4,1,3,5,2,13,12,12,Si
GP,F,16,U,GT3,A,Secundaria,Superior,services,other,course,father,Inf. 15m,Inf. a 2h,0,no,no,no,no,yes,yes,yes,no,3,2,1,1,4,5,12,15,13,14,Si
GP,M,16,U,GT3,T,Grado_9,Primaria_Superior,at_home,other,course,mother,Sup. 60m.,Inf. a 2h,0,no,no,no,no,yes,yes,no,no,3,2,1,1,1,2,4,9,9,11,Si
GP,F,16,U,GT3,A,Grado_9,Grado_9,other,other,home,mother,Inf. 15m,Inf. a 2h,1,no,no,no,no,yes,yes,no,no,5,3,4,1,1,5,12,13,11,11,Si
GP,M,15,R,GT3,T,Secundaria,Superior,at_home,teacher,course,mother,Sup. 60m.,De 2h a 5h,0,no,yes,no,no,yes,yes,no,yes,5,3,3,1,1,5,2,12,11,11,Si
